reviews,sentiment,urgency
i can not open the app anymore,Negative,Low
i have be beg for a refund from this app for over a month and nobody be reply me,Negative,High
very costly for the premium version approx indian rupee per year well to download the premium version of this app from apkmos website and use it microsoft to do list app be far more good,Negative,Medium
use to keep me organize but all the update have make a mess of thing y cud not u leave well enuf alone guess ur techie feel the need to keep making change to justify continue to collect their salary,Negative,High
dan birthday oct,Negative,Low
it have change how i view my different list now they be all jumble together and i ca not find what i need,Negative,High
reset my free trial new phone i d like to see if it be well,Negative,Low
how do to stop monthly payment because i do not use this app anymore,Negative,High
widget be useless because they always show all task i have regardless of category there be no option to show only a specific category like grocery so they re all mix up with to do list task do developer even care about usability be not it a software design,Negative,High
horrible app it do not do a described absolutely no support,Negative,Low
do not realize there be a charge for this app do not want this app,Negative,Low
spams notification of how many task other user have complete this week who on earth would care uninstalled update developer respond that this be a once off experiment i think this be actually the third time i receive this notification also experimental spam be still spam,Negative,High
download first thing it try to do be do a con not impressed,Negative,Low
no longer work with alexa what happen,Negative,Low
it do not show any list,Negative,Low
this app be not what i want at all,Negative,Low
unnecessary pop up really annoy and counterproductive,Negative,Medium
they recently start send spammy notification every week or so please stop,Negative,High
day for free and then you pay plus too complicate for some simple task,Negative,High
update thanks for your response i would ask the developer to check their own app there be no monthly subscription option in the app old review no monthly subscription why should i be force to subscribe for a year i be definitely not subscribe for a year in one go this be ridiculously desperate,Negative,High
expensive paywall prevent access to feature in want to try out,Negative,High
i be about to pay for this app when i notice a bug it do not effectively sync task and event from the google calendar numerous issue and you ca not even mark those event a over sorry not go to subscribe to this i have no idea why this app be so famous it be quite bad in my opinion,Negative,High
bad application no task information on screen,Negative,Medium
shameless app ever waste money i have subscribe and have be charge for the whole year though no feature of premium appear can someone clarify the reason,Negative,High
i be not provide email address or google or facebook account for a todo list,Negative,Medium
uninstalled it as soon a it start send me ad notification why do any developer think this be acceptable disgust,Negative,High
i have subscribe and have be charge for the whole year though no feature of premium appear can someone clarify the reason,Negative,Low
have to pay premium if you want to put multiple reminder a day,Negative,High
i have try i instal this on two separate android device with no luck i can not add my calendar i put the widget on the home screen it say i need to add my calendar and have a button to add them but nothing happen when i tap the button,Negative,Low
such a useless and greedy app only want money a be chargeable after day do you have shame i want to give you star,Negative,High
really cumbersome be not easy to use,Negative,Low
be charge for the year instead of monthly,Negative,Low
not free can not delete account,Negative,High
will not enable me to unsubscribe,Negative,Low
late update delete all my task and list have to start all over and try to remember what my list item be i ll be look for a new app,Negative,High
feature for the free version be just disappointing,Negative,High
lock basic feature behind a paywall be kinda weird,Negative,High
soo awkward i ca not able to sign up sick app,Negative,Low
hang when set up google assistant,Negative,High
subscription how do this application figure that it can be a subscription application ridiculous update after developer response this be not a subscription application you be not netflix or adobe this should be a standalone app quit try to milk people be money you can say anything you want this will never be a subscription application stop be ridiculous,Negative,High
hopeless customer service i pay for the premium version have a problem with it share function email customer support for a solution be tell it would take business day for a response which be hopeless enough now over business day later i ve not receive a response,Negative,High
duplicate file attach and you have to constantly delete fix the bug,Negative,High
use to work so well earlier now it do not work at all junk,Negative,Low
frustrate apparently it meant to sync grocery list with google home but do not absolutely no info on how to set it up,Negative,Low
too complicate to use,Negative,Low
i should have look through most recent instead of most relevant review it be far too limited for me in it be free state and i m not interested in pay for a subscription just to unlock what should be basic functionality in a to do list app,Negative,High
do not for show or refund refuse about my persional privacy,Negative,High
it do not have sub list e g child school child health so you see too many list or too many task at once which be overwelming,Negative,Low
not usefull and even they charge some money,Negative,High
this app be absolutely useless because of this i miss an important event because the reminder alarm supposedly forget to ring it pathetic and useless,Negative,High
be the app or web platform down today ca not seem to login either,Negative,High
have to pay for daily reminder my phone do that free,Negative,High
the app be amaze but the vibration so annoy pls let me turn them off,Negative,Medium
location reminder do not work in medium power save mode and all i get in reply be a copy paste solution and a trouble shoot link,Negative,Low
feed up with interruption in each matter i note not worth the while have there be far too many condescend worker out inte cyber world who refuse to take no for an answer,Negative,Low
really dissappointed in this app be use it to schedule my customer appointment as soon a the new version come out i lose everything go back to paper a at least my paper wo not delete everything a terrible app for business owner and schedule appointment absolutely horrible and i m very angry,Negative,High
thanks to your stupid update i lose all of my appointment date terrible garbage,Negative,High
i miss cal the update destroy it turn this into a cookie cutter to do app it be a shame,Negative,Medium
be great but ca not connect with other people since last update invite will go out and will even receive the invitation but do not link and have have no luck with customer support,Negative,Low
i be try for day to un subscribe but of course that i be charge absolutely no support horrible and disgusting tactic,Negative,Low
do not do weekly reminder correctly i open a bug report and be tell that it be a know bug a reminder app that get reminder at the wrong time be a big no from me,Negative,High
in app purchase significantly impact experience a year for feature such a recur task you re have a laugh,Negative,High
you need an account because they want to track your cooky for ad,Negative,Medium
need to create an account to use it,Negative,Low
be nothing free anymore it look like a good app but as soon a you open it it give the subscription rate i uninstalled immediately do not bother believe it or not some people do not enjoy be nickle and dim,Negative,High
i send an ivite to people and everyone get over email for the one invite what a joke of a an app,Negative,Medium
i have to sync whatttt gtfohhhhhh,Negative,Low
bring back my money why your system steal my money from pending subscribe without confirmation and notification wheres my money,Negative,High
why be this so buggy now why be you no longer really be attentive to quality control cant delete task on one try can no longer delete finished task without several attempt all command be hesitant all command require multiple attempt i have email you time with no response please advise,Negative,High
hum hai al ghj,Negative,Low
make simple thing extremely complicate,Negative,Low
even after your response it do not change the fact that you be require to have an account to proceed the reasoning that others do it be negligible only way i would rate this app well be if you have an anonymous auto log in that can be convert to a full account on sign up or log in,Negative,High
the late update now not work fine at all it be worsen day by day the developer now appear to have a different intention that premium pay version be purchase by the user,Negative,High
just use your basic phone calendar,Negative,Low
i want to cancel the subscription,Negative,High
